province,MAE
squeezed_Thanh Hóa,2.9239651952950987
squeezed_Sóc Trăng,4.193702136317609
squeezed_Thái Nguyên,4.213153316111561
squeezed_Hà Tĩnh,4.262468855491971
squeezed_Bắc Giang,4.337735696293373
squeezed_Cà Mau,4.508227260148729
squeezed_Phú Thọ,4.76213907728437
squeezed_Long An,4.868053514159452
squeezed_Kiên Giang,4.96511572653931
squeezed_BR Vũng Tàu,5.22124717929686
squeezed_Tiền Giang,5.309242324011219
squeezed_Nam Định,5.394850612730576
squeezed_Yên Bái,5.839391726000453
squeezed_TT Huế,6.141204440865188
squeezed_Bạc Liêu,6.221158091450117
squeezed_Quảng Ninh,6.34317167603799
squeezed_Hưng Yên,6.545222532878832
squeezed_Ninh Bình,6.741775548449943
squeezed_Bình Định,6.74259282307272
squeezed_Tuyên Quang,7.125744511976298
squeezed_An Giang,7.633867306343693
squeezed_Nghệ An,7.680037095902594
squeezed_Cần Thơ,8.172175588229683
squeezed_Lạng Sơn,8.561690060350127
squeezed_Đắk Nông,8.75597862009737
squeezed_Bình Phước,8.784749025242823
squeezed_Quảng Trị,8.84082638123464
squeezed_Bắc Kạn,9.082011187679539
squeezed_Đồng Tháp,9.08740106804103
squeezed_Hải Dương,9.244106978932544
squeezed_Hòa Bình,9.522503753129147
squeezed_Đắk Lắk,9.744377026185202
squeezed_Hải Phòng,9.788031302206315
squeezed_Quảng Nam,10.192827357273366
squeezed_Tây Ninh,10.883014850531998
squeezed_Vĩnh Phúc,10.924294723223177
squeezed_Khánh Hòa,11.54679758309684
squeezed_Trà Vinh,12.143862804751805
squeezed_Hà Nội,12.354711339488958
squeezed_Bình Thuận,12.664959831844001
squeezed_Gia Lai,12.920441234360112
squeezed_Ninh Thuận,12.99990197437937
squeezed_Sơn La,13.768975920828694
squeezed_Quảng Bình,13.809293870341603
squeezed_Quảng Ngãi,14.06348623148194
squeezed_Phú Yên,14.166076722897754
squeezed_Lâm Đồng,14.354495408327125
squeezed_Đà Nẵng,15.445780732692745
squeezed_Hà Giang,15.952148136009393
squeezed_Lai Châu,17.637836015016124
squeezed_Lào Cai,20.34735067430871
squeezed_Cao Bằng,25.708413801915356
squeezed_Kon Tum,44.65030458802516
squeezed_Điện Biên,61.84026953386033
squeezed_Thái Bình,74.04413128828865
