relationship_rank,relationship,target,predictor,lag,province,n_samples,control_mode,spearman_corr,kendall_tau,distance_corr,mutual_info,abs_spearman
1,Diarrhoea_rates <- Influenza_rates (lag 0),Diarrhoea_rates,Influenza_rates,0,squeezed_An Giang,264,month,0.5369418651103554,0.3600587723395668,0.4855887726458141,0.3651609924872359,0.5369418651103554
1,Diarrhoea_rates <- Influenza_rates (lag 0),Diarrhoea_rates,Influenza_rates,0,squeezed_BR Vũng Tàu,264,month,0.672300659630922,0.5009149197263689,0.6605125963709989,0.5835110105899628,0.672300659630922
1,Diarrhoea_rates <- Influenza_rates (lag 0),Diarrhoea_rates,Influenza_rates,0,squeezed_Bình Phước,264,month,0.5844257717698165,0.4423988371675998,0.6005769061360171,0.4221877986253779,0.5844257717698165
1,Diarrhoea_rates <- Influenza_rates (lag 0),Diarrhoea_rates,Influenza_rates,0,squeezed_Bình Thuận,264,month,0.6215669253506906,0.44768421926986013,0.6046382847839276,0.38565371324782216,0.6215669253506906
1,Diarrhoea_rates <- Influenza_rates (lag 0),Diarrhoea_rates,Influenza_rates,0,squeezed_Bình Định,264,month,0.6641171862081445,0.5158892559794545,0.694133212778433,0.5738577273589094,0.6641171862081445
1,Diarrhoea_rates <- Influenza_rates (lag 0),Diarrhoea_rates,Influenza_rates,0,squeezed_Bạc Liêu,264,month,0.3566273083031695,0.25150925791077583,0.37820196626702096,0.3514679823592983,0.3566273083031695
1,Diarrhoea_rates <- Influenza_rates (lag 0),Diarrhoea_rates,Influenza_rates,0,squeezed_Bắc Giang,264,month,0.5616464155162275,0.41920195700230634,0.6609240432486723,0.7385339373400246,0.5616464155162275
1,Diarrhoea_rates <- Influenza_rates (lag 0),Diarrhoea_rates,Influenza_rates,0,squeezed_Bắc Kạn,264,month,0.27904263960533554,0.19142138358755798,0.45004076716680597,0.1331924471029744,0.27904263960533554
1,Diarrhoea_rates <- Influenza_rates (lag 0),Diarrhoea_rates,Influenza_rates,0,squeezed_Cao Bằng,264,month,0.7400105725916294,0.5659762195498791,0.713750337730166,0.5833968903635198,0.7400105725916294
1,Diarrhoea_rates <- Influenza_rates (lag 0),Diarrhoea_rates,Influenza_rates,0,squeezed_Cà Mau,264,month,0.6100520928370154,0.5171156820181654,0.6071354762833984,0.8192420686954898,0.6100520928370154
1,Diarrhoea_rates <- Influenza_rates (lag 0),Diarrhoea_rates,Influenza_rates,0,squeezed_Cần Thơ,264,month,0.16635925335654209,0.12457334124618671,0.2402987101560906,0.14609365381605777,0.16635925335654209
1,Diarrhoea_rates <- Influenza_rates (lag 0),Diarrhoea_rates,Influenza_rates,0,squeezed_Gia Lai,264,month,0.6806667101434907,0.5449503826028235,0.698977834622205,0.7387922680700116,0.6806667101434907
1,Diarrhoea_rates <- Influenza_rates (lag 0),Diarrhoea_rates,Influenza_rates,0,squeezed_Hà Giang,264,month,0.6860795594125318,0.5520202404195742,0.7006423494934491,0.7562014594052084,0.6860795594125318
1,Diarrhoea_rates <- Influenza_rates (lag 0),Diarrhoea_rates,Influenza_rates,0,squeezed_Hà Nội,264,month,0.44678396632811335,0.3256477517432235,0.47724096955899026,0.5830974776418278,0.44678396632811335
1,Diarrhoea_rates <- Influenza_rates (lag 0),Diarrhoea_rates,Influenza_rates,0,squeezed_Hà Tĩnh,264,month,0.5696100202608865,0.4207052558024309,0.5756512418245053,0.34426175209514254,0.5696100202608865
1,Diarrhoea_rates <- Influenza_rates (lag 0),Diarrhoea_rates,Influenza_rates,0,squeezed_Hòa Bình,264,month,0.5654261326498915,0.3990944933779528,0.5280957556541508,0.24092882376908742,0.5654261326498915
1,Diarrhoea_rates <- Influenza_rates (lag 0),Diarrhoea_rates,Influenza_rates,0,squeezed_Hưng Yên,264,month,0.37644901165494,0.28902573436244383,0.5631160138627899,0.3020928803785101,0.37644901165494
1,Diarrhoea_rates <- Influenza_rates (lag 0),Diarrhoea_rates,Influenza_rates,0,squeezed_Hải Dương,264,month,0.5970322439379803,0.47444758810865556,0.64389532836671,0.6697607503566783,0.5970322439379803
1,Diarrhoea_rates <- Influenza_rates (lag 0),Diarrhoea_rates,Influenza_rates,0,squeezed_Hải Phòng,264,month,0.4993177508010904,0.3879738760157522,0.47534889680147097,0.5106989816135847,0.4993177508010904
1,Diarrhoea_rates <- Influenza_rates (lag 0),Diarrhoea_rates,Influenza_rates,0,squeezed_Khánh Hòa,264,month,0.44196083239958356,0.30702665294877407,0.44269128830876686,0.334023921960656,0.44196083239958356
1,Diarrhoea_rates <- Influenza_rates (lag 0),Diarrhoea_rates,Influenza_rates,0,squeezed_Kiên Giang,264,month,0.3161241965028843,0.260044728121455,0.41543506952841863,0.4649950109216219,0.3161241965028843
1,Diarrhoea_rates <- Influenza_rates (lag 0),Diarrhoea_rates,Influenza_rates,0,squeezed_Kon Tum,264,month,0.6409235357280164,0.47318455038235885,0.6300227270604757,0.4918121347409019,0.6409235357280164
1,Diarrhoea_rates <- Influenza_rates (lag 0),Diarrhoea_rates,Influenza_rates,0,squeezed_Lai Châu,264,month,0.6251135937939453,0.5132492105216488,0.7106697326369673,0.6902612733460884,0.6251135937939453
1,Diarrhoea_rates <- Influenza_rates (lag 0),Diarrhoea_rates,Influenza_rates,0,squeezed_Long An,264,month,-0.0009854639180637169,0.016622493669031877,0.31975821239484914,0.5216229808300197,0.0009854639180637169
1,Diarrhoea_rates <- Influenza_rates (lag 0),Diarrhoea_rates,Influenza_rates,0,squeezed_Lào Cai,264,month,0.773886346499132,0.5894473246476484,0.7429225370010747,0.5380611101273765,0.773886346499132
1,Diarrhoea_rates <- Influenza_rates (lag 0),Diarrhoea_rates,Influenza_rates,0,squeezed_Lâm Đồng,264,month,0.7318049711852662,0.5354596136948706,0.7117767166914971,0.39570683958730335,0.7318049711852662
1,Diarrhoea_rates <- Influenza_rates (lag 0),Diarrhoea_rates,Influenza_rates,0,squeezed_Lạng Sơn,264,month,0.671268118054053,0.4889690011764544,0.6577446278372574,0.5200885864196549,0.671268118054053
1,Diarrhoea_rates <- Influenza_rates (lag 0),Diarrhoea_rates,Influenza_rates,0,squeezed_Nam Định,264,month,0.3197743838431603,0.23298313695678433,0.43167626496208766,0.3564772913719856,0.3197743838431603
1,Diarrhoea_rates <- Influenza_rates (lag 0),Diarrhoea_rates,Influenza_rates,0,squeezed_Nghệ An,264,month,0.5624122478791177,0.42247559723112577,0.5637565650408579,0.4600130713409172,0.5624122478791177
1,Diarrhoea_rates <- Influenza_rates (lag 0),Diarrhoea_rates,Influenza_rates,0,squeezed_Ninh Bình,264,month,0.15061916429828437,0.12592823850236465,0.3274350952219431,0.39236246654758133,0.15061916429828437
1,Diarrhoea_rates <- Influenza_rates (lag 0),Diarrhoea_rates,Influenza_rates,0,squeezed_Ninh Thuận,264,month,0.6533148194080051,0.4775878567146893,0.686340466570836,0.556818551271447,0.6533148194080051
1,Diarrhoea_rates <- Influenza_rates (lag 0),Diarrhoea_rates,Influenza_rates,0,squeezed_Phú Thọ,264,month,0.6290551327465456,0.4774162727995342,0.5896675982582615,0.5320491883692626,0.6290551327465456
