d1,d2,lag,corr
Influenza_rates,Dengue_fever_rates,0,-0.053878171865033624
Influenza_rates,Dengue_fever_rates,1,-0.06722245104832884
Influenza_rates,Dengue_fever_rates,2,-0.07171570769671701
Influenza_rates,Dengue_fever_rates,3,-0.06728141389077036
Influenza_rates,Dengue_fever_rates,4,-0.07604264793359883
Influenza_rates,Dengue_fever_rates,5,-0.07981806564570895
Influenza_rates,Dengue_fever_rates,6,-0.08616322250897418
Influenza_rates,Diarrhoea_rates,0,0.6208265364884634
Influenza_rates,Diarrhoea_rates,1,0.5256473834043622
Influenza_rates,Diarrhoea_rates,2,0.525903000332211
Influenza_rates,Diarrhoea_rates,3,0.5315375615175257
Influenza_rates,Diarrhoea_rates,4,0.5228821702022729
Influenza_rates,Diarrhoea_rates,5,0.5134409247630319
Influenza_rates,Diarrhoea_rates,6,0.5011422090689114
Dengue_fever_rates,Influenza_rates,0,-0.053878171865033624
Dengue_fever_rates,Influenza_rates,1,-0.07053377307961942
Dengue_fever_rates,Influenza_rates,2,-0.08310283104158928
Dengue_fever_rates,Influenza_rates,3,-0.08615577370616143
Dengue_fever_rates,Influenza_rates,4,-0.08935448049530528
Dengue_fever_rates,Influenza_rates,5,-0.09498398630237273
Dengue_fever_rates,Influenza_rates,6,-0.10003029247318213
Dengue_fever_rates,Diarrhoea_rates,0,-0.08884046478697147
Dengue_fever_rates,Diarrhoea_rates,1,-0.08179674817690386
Dengue_fever_rates,Diarrhoea_rates,2,-0.07263807830753272
Dengue_fever_rates,Diarrhoea_rates,3,-0.06499053299968631
Dengue_fever_rates,Diarrhoea_rates,4,-0.06029521012189747
Dengue_fever_rates,Diarrhoea_rates,5,-0.05917051405800743
Dengue_fever_rates,Diarrhoea_rates,6,-0.054585508487667966
Diarrhoea_rates,Influenza_rates,0,0.6208265364884635
Diarrhoea_rates,Influenza_rates,1,0.5060714727910143
Diarrhoea_rates,Influenza_rates,2,0.49797008657584463
Diarrhoea_rates,Influenza_rates,3,0.4964708301416553
Diarrhoea_rates,Influenza_rates,4,0.48928157219164636
Diarrhoea_rates,Influenza_rates,5,0.49163112178892887
Diarrhoea_rates,Influenza_rates,6,0.5035160285048416
Diarrhoea_rates,Dengue_fever_rates,0,-0.08884046478697147
Diarrhoea_rates,Dengue_fever_rates,1,-0.08786849504438075
Diarrhoea_rates,Dengue_fever_rates,2,-0.08459915514758111
Diarrhoea_rates,Dengue_fever_rates,3,-0.0655961274756765
Diarrhoea_rates,Dengue_fever_rates,4,-0.06635936502904573
Diarrhoea_rates,Dengue_fever_rates,5,-0.05375813273487531
Diarrhoea_rates,Dengue_fever_rates,6,-0.04260530194716509
