feature,lag,corr
Total_Evaporation,0,0.07738010665571975
Total_Evaporation,1,0.08738271354565068
Total_Evaporation,2,0.11461679545976765
Total_Evaporation,3,0.16504215617699
Total_Evaporation,4,0.19523424122792993
Total_Evaporation,5,0.1995234906575416
Total_Evaporation,6,0.17762429957724502
Total_Rainfall,0,0.08683150127511556
Total_Rainfall,1,0.0788194050963116
Total_Rainfall,2,0.04831247661965739
Total_Rainfall,3,-0.0046896618631235365
Total_Rainfall,4,-0.04838477923459971
Total_Rainfall,5,-0.08000183323135127
Total_Rainfall,6,-0.08870644735133446
Max_Daily_Rainfall,0,0.060405913536882495
Max_Daily_Rainfall,1,0.05547560805804849
Max_Daily_Rainfall,2,0.02804415659819085
Max_Daily_Rainfall,3,-0.013613273410014661
Max_Daily_Rainfall,4,-0.046840977995376364
Max_Daily_Rainfall,5,-0.07048735285810305
Max_Daily_Rainfall,6,-0.07941270771036858
n_raining_days,0,0.10424360108226413
n_raining_days,1,0.10585431743178386
n_raining_days,2,0.0813880417077682
n_raining_days,3,0.028763062431022588
n_raining_days,4,-0.016465434690396654
n_raining_days,5,-0.059693147647680904
n_raining_days,6,-0.07545462186440346
Average_temperature,0,0.17156467504761627
Average_temperature,1,0.196298492977302
Average_temperature,2,0.21325890691121066
Average_temperature,3,0.2160959867905903
Average_temperature,4,0.20234574505373232
Average_temperature,5,0.1782477740961203
Average_temperature,6,0.14832713557748842
Max_Average_Temperature,0,0.14692587190137027
Max_Average_Temperature,1,0.1777441394753819
Max_Average_Temperature,2,0.20191080519750595
Max_Average_Temperature,3,0.21212832405369184
Max_Average_Temperature,4,0.20315574047613486
Max_Average_Temperature,5,0.18178679664281586
Max_Average_Temperature,6,0.149259099271715
Min_Average_Temperature,0,0.1835201789265713
Min_Average_Temperature,1,0.20440785948087206
Min_Average_Temperature,2,0.21450436848458007
Min_Average_Temperature,3,0.21047287611191787
Min_Average_Temperature,4,0.1909228439871169
Min_Average_Temperature,5,0.16348674046885303
Min_Average_Temperature,6,0.13460079805520467
Max_Absolute_Temperature,0,0.06578656014772345
Max_Absolute_Temperature,1,0.10107960998977775
Max_Absolute_Temperature,2,0.134569726475428
Max_Absolute_Temperature,3,0.15108046433505526
Max_Absolute_Temperature,4,0.14743385780925564
Max_Absolute_Temperature,5,0.12261317922095899
Max_Absolute_Temperature,6,0.0844749325736794
Min_Absolute_Temperature,0,0.20311239094791247
Min_Absolute_Temperature,1,0.22634122362998563
Min_Absolute_Temperature,2,0.23449361668570926
Min_Absolute_Temperature,3,0.22512083381494766
Min_Absolute_Temperature,4,0.201657478685234
Min_Absolute_Temperature,5,0.17469767515425194
Min_Absolute_Temperature,6,0.14803123694788645
Average_Humidity,0,0.010741864955874175
Average_Humidity,1,0.0002896678129457677
Average_Humidity,2,-0.029716402604901073
Average_Humidity,3,-0.07478186558291781
Average_Humidity,4,-0.11078016089890237
Average_Humidity,5,-0.12837156509091704
Average_Humidity,6,-0.11709027607689036
Min_Humidity,0,0.16835945796932258
Min_Humidity,1,0.15656838225364744
Min_Humidity,2,0.12352480840266943
Min_Humidity,3,0.0813526596202945
Min_Humidity,4,0.043187740211670766
Min_Humidity,5,0.03122213138063138
Min_Humidity,6,0.03977588584810299
n_hours_sunshine,0,0.13080992985848458
n_hours_sunshine,1,0.15746710602806335
n_hours_sunshine,2,0.19170685060262077
n_hours_sunshine,3,0.22343861766554496
n_hours_sunshine,4,0.23241998473372932
n_hours_sunshine,5,0.2423481487576838
n_hours_sunshine,6,0.2248892541214837
