province,avg_missing_ratio
squeezed_An Giang,0.0
squeezed_Thanh Hóa,0.0
squeezed_Ninh Thuận,0.0
squeezed_Phú Thọ,0.0
squeezed_Phú Yên,0.0
squeezed_Quảng Bình,0.0
squeezed_Quảng Nam,0.0
squeezed_Quảng Ngãi,0.0
squeezed_Quảng Ninh,0.0
squeezed_Quảng Trị,0.0
squeezed_Sóc Trăng,0.0
squeezed_Sơn La,0.0
squeezed_TT Huế,0.0
squeezed_Thái Bình,0.0
squeezed_Nghệ An,0.0
squeezed_Thái Nguyên,0.0
squeezed_Tiền Giang,0.0
squeezed_Trà Vinh,0.0
squeezed_Tuyên Quang,0.0
squeezed_Tây Ninh,0.0
squeezed_Vĩnh Phúc,0.0
squeezed_Yên Bái,0.0
squeezed_Điện Biên,0.0
squeezed_Đà Nẵng,0.0
squeezed_Đắk Lắk,0.0
squeezed_Đắk Nông,0.0
squeezed_Ninh Bình,0.0
squeezed_Nam Định,0.0
squeezed_BR Vũng Tàu,0.0
squeezed_Hà Nội,0.0
squeezed_Bình Phước,0.0
squeezed_Bình Thuận,0.0
squeezed_Bình Định,0.0
squeezed_Bạc Liêu,0.0
squeezed_Bắc Giang,0.0
squeezed_Bắc Kạn,0.0
squeezed_Cao Bằng,0.0
squeezed_Cà Mau,0.0
squeezed_Cần Thơ,0.0
squeezed_Gia Lai,0.0
squeezed_Hà Giang,0.0
squeezed_Hà Tĩnh,0.0
squeezed_Lạng Sơn,0.0
squeezed_Hòa Bình,0.0
squeezed_Hưng Yên,0.0
squeezed_Hải Dương,0.0
squeezed_Hải Phòng,0.0
squeezed_Khánh Hòa,0.0
squeezed_Kiên Giang,0.0
squeezed_Kon Tum,0.0
squeezed_Lai Châu,0.0
squeezed_Long An,0.0
squeezed_Lào Cai,0.0
squeezed_Lâm Đồng,0.0
squeezed_Đồng Tháp,0.0
