model,horizon,base_mae,cross_mae,delta_%,p_value,significant
HistGB,MAE@1,25.48634378092793,25.941566423210933,1.786143380140933,0.0038388962336775687,True
HistGB,MAE@2,28.663791346142993,28.594941192236774,-0.240199047902584,0.17492708513886635,False
HistGB,MAE@3,31.72656395654763,30.662387030761845,-3.3542142390309566,9.627555939736689e-18,True
HistGB,MAE@4,32.75315764981667,32.0658282635411,-2.0985133513666545,1.2464694322279745e-07,True
HistGB,MAE@5,33.89356611731507,32.33288734915004,-4.604646093488901,5.290499229826591e-11,True
HistGB,MAE@6,36.51747150023054,35.197585229884396,-3.614396660343291,4.5907997952531194e-35,True
XGBoost,MAE@1,25.602310134240156,25.70628265340682,0.40610600614361253,0.15548251171088837,False
XGBoost,MAE@2,27.837810156008334,28.103501280488942,0.954425376822474,0.07277565758625035,False
XGBoost,MAE@3,30.444778510740147,30.49318945905833,0.15901231897976748,0.9961984089222714,False
XGBoost,MAE@4,31.83464455724773,31.453448695467422,-1.1974245890976132,0.0005876963499317944,True
XGBoost,MAE@5,34.143877069189394,33.60488956611137,-1.5785773302364519,0.05475870677578937,False
XGBoost,MAE@6,35.61735348742197,34.81661488924015,-2.248169837954408,0.0832467151933233,False
LSTM,MAE@1,43.049783694569776,40.61551922281958,-5.654533572156486,0.04770598344566406,True
LSTM,MAE@2,44.647693008124136,41.26095985147803,-7.585460588142495,0.001072445743095514,True
LSTM,MAE@3,45.677493412858134,41.7684293635135,-8.557965328816055,0.00017200073119139075,True
LSTM,MAE@4,46.51624044483192,42.44853751885659,-8.744694083348401,0.0002570397834391777,True
LSTM,MAE@5,46.97960900329761,43.07679227396068,-8.30746958550248,0.0003409915209588658,True
LSTM,MAE@6,48.130358772017736,44.26046888959676,-8.040434314549247,0.00018461206915788709,True
LightGBM,MAE@1,25.85889166211769,25.40646774338667,-1.7495874326037033,0.09232138382911292,False
LightGBM,MAE@2,28.295399917261282,28.262498465008793,-0.11627844931930963,0.5164802638142695,False
LightGBM,MAE@3,30.372770215714386,30.219213714382864,-0.5055729202207391,0.7522368807069214,False
LightGBM,MAE@4,31.81499115034833,31.2496649875436,-1.7769175547878184,0.0031041441907320253,True
LightGBM,MAE@5,34.2674735212272,33.048456688110456,-3.557358357223562,1.907604574043588e-05,True
LightGBM,MAE@6,34.84280548739774,33.95054294977147,-2.560822887666134,6.606492007129971e-07,True
