province,column,n_unique,std
squeezed_Điện Biên,Dengue_fever_rates,13,0.8735594513945597
squeezed_Điện Biên,population_urban,15,5.533647938216908
squeezed_Đắk Nông,population_urban,15,15.055663441140432
squeezed_Điện Biên,population_female,15,28.49094575619848
squeezed_Điện Biên,population_male,15,29.904515952948728
squeezed_Đắk Nông,population_female,15,32.986837958682806
squeezed_Đắk Nông,population_male,15,42.68010324030749
squeezed_Điện Biên,population_countryside,15,52.90679518801073
squeezed_Đắk Nông,population_countryside,15,60.62159755639286
squeezed_Lai Châu,Dengue_fever_rates,17,0.6531162196335364
squeezed_Cà Mau,Average_Humidity,18,3.65967708147584
squeezed_Kiên Giang,Average_Humidity,18,4.0186787680037375
squeezed_Sóc Trăng,Average_Humidity,18,5.810985083051356
squeezed_Cao Bằng,Dengue_fever_rates,18,11.6882607756973
squeezed_Bắc Kạn,Dengue_fever_rates,19,2.7578302400958323
squeezed_Quảng Trị,population_countryside,19,2.9953808792155714
squeezed_Trà Vinh,Average_Humidity,19,3.346699698974317
squeezed_Cần Thơ,Average_Humidity,19,4.166136329885511
squeezed_Hà Giang,Dengue_fever_rates,20,2.430107086483155
squeezed_Cao Bằng,population_female,20,3.3824922654190726
squeezed_Ninh Thuận,Average_Humidity,21,4.131136390726875
squeezed_Bạc Liêu,Average_Humidity,21,4.3663909130015295
squeezed_Bình Định,population_female,21,5.845145333260937
squeezed_Thái Bình,population_female,21,7.8917246253264235
squeezed_Lạng Sơn,population_urban,21,8.764577667761003
squeezed_Hà Tĩnh,population_male,21,8.828058948227994
squeezed_Quảng Ngãi,population_countryside,21,9.340424628002998
squeezed_Cao Bằng,population_countryside,21,9.725097006038526
squeezed_Ninh Bình,population_female,21,11.137172475265064
squeezed_Phú Yên,population_female,21,14.126051931867528
squeezed_Thái Bình,population_male,21,15.728260012364009
squeezed_Cà Mau,population_countryside,21,16.92293863565415
squeezed_Nam Định,population_female,21,18.94709339557115
squeezed_Tuyên Quang,population_countryside,21,19.475124910748473
squeezed_Tiền Giang,population_female,21,20.697702371786935
squeezed_Quảng Trị,population_urban,21,20.85164709985423
squeezed_Thái Bình,population_urban,21,33.74958747222631
