feature,importance
Diarrhoea_rates_rollmean_3,28.658756
Diarrhoea_rates_lag1,18.987923
Diarrhoea_rates_rollmean_6,6.6118407
Diarrhoea_rates_lag2,3.7381444
Diarrhoea_rates_lag11,2.683425
Dengue_fever_rates,2.1066694
Diarrhoea_rates_lag3,1.8154672
Diarrhoea_rates_lag4,1.6375353
Influenza_rates,1.4433819
Diarrhoea_rates_lag12,1.0645785
Diarrhoea_rates_lag8,0.95612705
Diarrhoea_rates_lag9,0.9290622
Diarrhoea_rates_lag7,0.88456696
Total_Rainfall_lag1,0.7514565
Diarrhoea_rates_lag5,0.7229166
Diarrhoea_rates_lag6,0.67749596
Diarrhoea_rates_lag10,0.60785913
Total_Rainfall_lag3,0.6019233
Total_Rainfall_lag2,0.51744026
Min_Absolute_Temperature_lag12,0.50936323
Total_Evaporation,0.49116462
Diarrhoea_rates_rollstd_3,0.46668306
toilet_rate,0.45503467
Max_Daily_Rainfall_lag11,0.4464552
month_sin,0.44339037
month_cos,0.4325356
Min_Absolute_Temperature_lag3,0.4115655
Min_Average_Temperature_lag4,0.40676385
n_hours_sunshine,0.3949093
Max_Daily_Rainfall,0.38590613
Total_Rainfall,0.38438544
Min_Average_Temperature_lag3,0.3603154
Max_Absolute_Temperature_lag4,0.35822117
Total_Evaporation_lag11,0.34534508
Average_Humidity_lag5,0.34401858
Total_Evaporation_lag2,0.34305468
birth_rate,0.33739012
n_raining_days_lag11,0.3350065
Diarrhoea_rates_rollstd_6,0.33448452
Min_Humidity_lag3,0.3213246
population_density,0.3118663
poverty_rate,0.30681828
Total_Rainfall_lag4,0.30557162
Max_Average_Temperature_lag4,0.28815296
Max_Average_Temperature_lag3,0.28357622
Total_Rainfall_lag11,0.27935225
Min_Absolute_Temperature_lag1,0.26655692
Min_Absolute_Temperature_lag8,0.2633805
Min_Humidity_lag2,0.26185715
n_hours_sunshine_lag2,0.2616846
Min_Absolute_Temperature_lag4,0.25888973
Total_Evaporation_lag3,0.25697318
clean_water_rate_all,0.25491762
Min_Average_Temperature_lag1,0.25474912
n_raining_days_lag10,0.25097626
Average_temperature_lag3,0.24860385
n_raining_days,0.24681324
Total_Evaporation_lag8,0.24406153
n_hours_sunshine_lag4,0.23924772
Max_Average_Temperature_lag6,0.23796913
Total_Evaporation_lag6,0.23625125
Min_Humidity_lag8,0.23368676
Max_Daily_Rainfall_lag3,0.23222269
Min_Absolute_Temperature_lag10,0.23112994
Min_Humidity_lag12,0.22848707
Max_Absolute_Temperature_lag2,0.22772564
n_raining_days_lag9,0.22763422
Min_Absolute_Temperature,0.2267425
n_hours_sunshine_lag1,0.22504756
