province,MAE
squeezed_Kiên Giang,2.99482656467571
squeezed_Sóc Trăng,4.405529381533188
squeezed_Bình Định,4.4976787860728935
squeezed_BR Vũng Tàu,6.027676055903373
squeezed_Bình Phước,7.023267207103513
squeezed_Trà Vinh,7.4427049767349684
squeezed_Tây Ninh,7.742872501334044
squeezed_Tiền Giang,7.754797121865342
squeezed_Cần Thơ,8.231220456123426
squeezed_An Giang,8.63239936698143
squeezed_Bạc Liêu,9.02832708076931
squeezed_Hà Nội,9.157804873360519
squeezed_Bắc Giang,9.166706384099703
squeezed_Thái Nguyên,9.383181259265324
squeezed_Cà Mau,9.423298556244825
squeezed_Thanh Hóa,11.50659278988748
squeezed_Nam Định,11.864316777116445
squeezed_Phú Thọ,12.976075154888681
squeezed_Hưng Yên,13.351530384135216
squeezed_Quảng Ngãi,15.000432869544504
squeezed_Đắk Lắk,15.976480621727939
squeezed_Long An,16.946155895689746
squeezed_Hải Phòng,17.878714664429896
squeezed_Ninh Bình,18.303784023715902
squeezed_Phú Yên,19.0727409408138
squeezed_TT Huế,20.64695646829876
squeezed_Yên Bái,21.17442589647881
squeezed_Nghệ An,21.177152596489034
squeezed_Đà Nẵng,21.792155459124995
squeezed_Quảng Ninh,23.236233488646445
squeezed_Lâm Đồng,23.315512989205036
squeezed_Quảng Nam,23.770621295610596
squeezed_Bình Thuận,24.063771425305443
squeezed_Đắk Nông,24.72576021670058
squeezed_Lạng Sơn,25.680464371601655
squeezed_Hòa Bình,26.813818339618546
squeezed_Vĩnh Phúc,28.708435821913486
squeezed_Quảng Trị,29.64451054573208
squeezed_Hà Giang,29.889859235907505
squeezed_Gia Lai,31.13672818156824
squeezed_Hà Tĩnh,31.92153620888243
squeezed_Đồng Tháp,32.2835311600017
squeezed_Kon Tum,35.88855312834849
squeezed_Hải Dương,38.87811792660677
squeezed_Sơn La,39.11405817307948
squeezed_Ninh Thuận,41.83249791263469
squeezed_Thái Bình,45.29569028539975
squeezed_Khánh Hòa,47.84845076117555
squeezed_Quảng Bình,49.7995965694407
squeezed_Tuyên Quang,55.55976429154962
squeezed_Lai Châu,59.33837691960233
squeezed_Bắc Kạn,61.60723473954738
squeezed_Cao Bằng,64.49485091894995
squeezed_Điện Biên,74.37190909402996
squeezed_Lào Cai,84.10075818557401
