target,predictor,lag,n_samples,n_provinces,missing_ratio_pair,control_mode,pearson_corr,spearman_corr,kendall_tau,distance_corr,mutual_info,spearman_perm_p,abs_spearman,abs_pearson,abs_spearman_scaled,distance_corr_scaled,mutual_info_scaled,composite_score
Influenza_rates,Diarrhoea_rates,0,14520,55,0.0,month_province,0.529775712608321,0.5379613946125229,0.3947384414338195,0.5522131859306975,0.3088479035643914,,0.5379613946125229,0.529775712608321,1.0,1.0,0.1799765843430719,0.794994146085768
Diarrhoea_rates,Influenza_rates,0,14520,55,0.0,month_province,0.529775712608321,0.5379613946125229,0.39473844143381953,0.543242285214008,0.3432379514778008,,0.5379613946125229,0.529775712608321,1.0,0.9824429919263737,0.20001688018908073,0.7929814168178198
Diarrhoea_rates,toilet_rate,1,14465,55,0.0037878787878787845,month_province,-0.37747242344468535,-0.5058823377219245,-0.370864303259355,0.529533165650721,0.30776411976130813,,0.5058823377219245,0.37747242344468535,0.9403129878741563,0.9556127849654209,0.17934502523325072,0.7561909160504358
Diarrhoea_rates,toilet_rate,5,14245,55,0.018939393939393923,month_province,-0.37515981902484674,-0.5000722163743745,-0.3613767260525922,0.528565776661188,0.299665229826656,,0.5000722163743745,0.37515981902484674,0.929502545893068,0.9537195016891976,0.17462551595186335,0.7504700707262186
Diarrhoea_rates,toilet_rate,3,14355,55,0.011363636363636354,month_province,-0.3761779792611016,-0.5018871699545664,-0.36456333783368167,0.5192030532962,0.3028375895929032,,0.5018871699545664,0.3761779792611016,0.9328794891965512,0.9353956549650434,0.17647416206034347,0.7447846237198962
Diarrhoea_rates,toilet_rate,6,14190,55,0.022727272727272707,month_province,-0.373942863457759,-0.5009202402574391,-0.36147650438348006,0.5164133784004192,0.28781667775926767,,0.5009202402574391,0.373942863457759,0.931080398133678,0.92993596410291,0.1677209460781844,0.7397827615074973
Diarrhoea_rates,toilet_rate,2,14410,55,0.007575757575757569,month_province,-0.37748595520402445,-0.5038178610781511,-0.36745030696881525,0.5005598075598983,0.31938872795788065,,0.5038178610781511,0.37748595520402445,0.9364717763668897,0.8989088376154876,0.18611909510194713,0.7338584305500933
Diarrhoea_rates,toilet_rate,0,14520,55,0.0,month_province,-0.37624862212930466,-0.5028638334807234,-0.3727312284066452,0.4965029402114181,0.3137351451474335,,0.5028638334807234,0.37624862212930466,0.9346966912398471,0.8909691161716433,0.1828245526693065,0.7292376265699304
Diarrhoea_rates,toilet_rate,4,14300,55,0.015151515151515138,month_province,-0.37555049243504557,-0.5003837839402177,-0.36241437372458646,0.4872606715854523,0.2942971869899784,,0.5003837839402177,0.37555049243504557,0.930082255488145,0.8728810121997842,0.17149736774945504,0.7175555362381282
Influenza_rates,Diarrhoea_rates,3,14355,55,0.011363636363636354,month_province,0.35009115394447826,0.4633629521546265,0.33550492114280345,0.5026905439378342,0.2448093857293312,,0.4633629521546265,0.35009115394447826,0.8612004662500394,0.9030789156234399,0.1426590776566647,0.698316498851056
Influenza_rates,Diarrhoea_rates,1,14465,55,0.0037878787878787845,month_province,0.35036762665374266,0.46695468578881044,0.3387791726344616,0.45071816483013816,0.23105367397100807,,0.46695468578881044,0.35036762665374266,0.8678833263387089,0.8013634348243037,0.13464313845520376,0.6579653227620705
Influenza_rates,Diarrhoea_rates,4,14300,55,0.015151515151515138,month_province,0.3361171747982007,0.4535231357643864,0.327361717499606,0.45030570311856877,0.25234787562216,,0.4535231357643864,0.3361171747982007,0.8428922833691249,0.8005562033289632,0.14705202203594628,0.6519977860197655
Diarrhoea_rates,Influenza_rates,2,14410,55,0.007575757575757569,month_province,0.3092015406153194,0.4306783727369915,0.3092818335040858,0.45877032398304035,0.21868865720722663,,0.4306783727369915,0.3092015406153194,0.8003868053409425,0.81712236781468,0.12743760635734308,0.6388437305845376
Influenza_rates,Diarrhoea_rates,2,14410,55,0.007575757575757569,month_province,0.3492273232218488,0.458233378215951,0.3316500560413708,0.43392522016409013,0.2284844294557029,,0.458233378215951,0.3492273232218488,0.8516562660286212,0.7684978537201393,0.13314594891021989,0.6387653218256282
Influenza_rates,Diarrhoea_rates,5,14245,55,0.018939393939393923,month_province,0.32232838081649784,0.44754403019168926,0.3217839644488825,0.4322180684771397,0.23702889234690616,,0.44754403019168926,0.32232838081649784,0.8317674255518783,0.7651567760628053,0.1381251092945295,0.6317125866919119
Diarrhoea_rates,poverty_rate,6,12384,48,0.14710743801652892,month_province,0.31746061284916366,0.40360419899405575,0.27736227744976233,0.4519838380912477,0.31433118679005023,,0.40360419899405575,0.31746061284916366,0.750011990956502,0.8038404921862844,0.18317188719133615,0.6298333655071235
Diarrhoea_rates,poverty_rate,0,12672,48,0.12727272727272732,month_province,0.31874295792926877,0.41107472718623567,0.28271485264723467,0.4369749636435759,0.3570495229849584,,0.41107472718623567,0.31874295792926877,0.7639118231215735,0.7744665264970219,0.208065370839593,0.6291720914012577
Diarrhoea_rates,poverty_rate,1,12624,48,0.13057851239669427,month_province,0.3187526332774504,0.4104792482463665,0.28198131133167936,0.4312651257464787,0.347285337499982,,0.4104792482463665,0.3187526332774504,0.7628038616616756,0.7632917656536728,0.2023754350097004,0.6228919165954807
Diarrhoea_rates,poverty_rate,2,12576,48,0.1338842975206611,month_province,0.3197327591762476,0.4099555388880312,0.281643107030986,0.43932174687695197,0.3035178725380252,,0.4099555388880312,0.3197327591762476,0.7618294362934991,0.7790594312093415,0.17687058696540803,0.6224817219278133
Diarrhoea_rates,Influenza_rates,1,14465,55,0.0037878787878787845,month_province,0.3214212668527803,0.446395603244884,0.3221177293298768,0.412897547006654,0.22113118327012504,,0.446395603244884,0.3214212668527803,0.8296306366389941,0.7273444579738402,0.12886095258341754,0.6135237441590383
Diarrhoea_rates,population_density,3,14355,55,0.011363636363636354,month_province,-0.2023663388709345,-0.42593390255174335,-0.28798492111586343,0.417796663011506,0.2805967808355909,,0.42593390255174335,0.2023663388709345,0.7915591377931286,0.7369325497348823,0.16351365707723614,0.612697132390857
Diarrhoea_rates,poverty_rate,4,12480,48,0.14049586776859502,month_province,0.3202222136740306,0.4078353959715068,0.28034162560414166,0.4243552813574571,0.31169547124130226,,0.4078353959715068,0.3202222136740306,0.7578846508716994,0.749768464308931,0.18163596262688564,0.6105760041853886
Diarrhoea_rates,population_density,1,14465,55,0.0037878787878787845,month_province,-0.20301951440437194,-0.4284543628943016,-0.29013616968028855,0.398510378677128,0.3238463742663198,,0.4284543628943016,0.20301951440437194,0.7962487627887148,0.6991872373674212,0.18871672308498802,0.6055411426942657
Diarrhoea_rates,poverty_rate,3,12528,48,0.13719008264462806,month_province,0.32049613789444026,0.40889958000755994,0.2811012327293858,0.4186385433647253,0.300527872024575,,0.40889958000755994,0.32049613789444026,0.7598646955369978,0.7385801992435878,0.1751282080358952,0.6051667751443581
Diarrhoea_rates,poverty_rate,5,12432,48,0.14380165289256197,month_province,0.3195490994669116,0.405926404581516,0.2789964413158364,0.42382303906481766,0.28476651859988866,,0.405926404581516,0.3195490994669116,0.7543327387119655,0.7487268094602031,0.16594351058041254,0.6049930599783723
Influenza_rates,Diarrhoea_rates,6,14190,55,0.022727272727272707,month_province,0.30293470456776134,0.4367877647917227,0.3130926588215159,0.3992724615514384,0.19313101493621598,,0.4367877647917227,0.30293470456776134,0.8117540771063149,0.7006787147117359,0.11254426530916721,0.5925214791991964
Diarrhoea_rates,population_density,4,14300,55,0.015151515151515138,month_province,-0.20156974015053103,-0.4237214944235245,-0.2862401221058357,0.388464117950074,0.2793308555485483,,0.4237214944235245,0.20156974015053103,0.7874426816508343,0.67952563523125,0.16277595769004263,0.5881091820928026
Diarrhoea_rates,population_density,0,14520,55,0.0,month_province,-0.20248579714445028,-0.4284205372900295,-0.2903837307708948,0.3728257683916725,0.3247744589584487,,0.4284205372900295,0.20248579714445028,0.7961858261113918,0.6489197197132853,0.18925755082233942,0.5855473147298861
Influenza_rates,toilet_rate,6,14190,55,0.022727272727272707,month_province,-0.2899398505206374,-0.3859441998220435,-0.2678082173815032,0.42284388927862593,0.24496220998171925,,0.3859441998220435,0.2899398505206374,0.7171534007455407,0.7468105090524328,0.1427481337474853,0.5854149273187836
Influenza_rates,toilet_rate,2,14410,55,0.007575757575757569,month_province,-0.281788966211253,-0.38183550129159904,-0.2667364828717396,0.41591387903969396,0.28979720772150763,,0.38183550129159904,0.281788966211253,0.709508664185971,0.7332477409918204,0.16887507085507072,0.5838458965755856
