scenario,model,n_folds,MAE@1_mean,MAE@1_std,MAE@2_mean,MAE@2_std,MAE@3_mean,MAE@3_std,MAE@4_mean,MAE@4_std,MAE@5_mean,MAE@5_std,MAE@6_mean,MAE@6_std,precision_mean,recall_mean
scenario1,HistGB,5,3.28,1.187,4.882,1.724,6.107,1.946,7.226,2.113,7.509,1.789,7.612,1.83,0.655,0.552
scenario1,LSTM,5,6.992,2.656,6.781,2.65,6.688,2.767,6.522,2.837,6.48,2.838,6.427,2.673,0.0,0.0
scenario1,LightGBM,5,3.513,1.394,4.994,1.667,6.249,2.039,7.033,2.171,7.329,2.018,7.615,1.888,0.617,0.539
scenario1,Naive,5,3.04,1.686,4.999,2.705,6.448,3.439,7.546,4.014,8.216,4.363,8.449,4.456,0.571,0.569
scenario1,SeasonalNaive,5,6.767,2.242,6.783,2.217,6.798,2.231,6.792,2.269,6.758,2.341,6.716,2.441,0.099,0.104
scenario1,XGBoost,5,3.651,1.382,5.113,1.506,6.467,1.776,7.231,2.038,7.744,1.816,7.726,1.741,0.598,0.572
scenario2,HistGB,5,3.158,1.131,4.846,1.499,5.9,1.915,6.89,2.243,6.927,1.673,7.35,1.838,0.689,0.541
scenario2,LSTM,5,6.59,2.118,6.398,2.118,6.148,2.147,6.142,2.113,6.176,2.245,6.173,2.205,0.04,0.007
scenario2,LightGBM,5,3.447,1.27,4.849,1.703,6.056,1.869,6.861,2.095,7.127,1.89,7.358,1.821,0.631,0.466
scenario2,Naive,5,3.04,1.686,4.999,2.705,6.448,3.439,7.546,4.014,8.216,4.363,8.449,4.456,0.571,0.569
scenario2,SeasonalNaive,5,6.767,2.242,6.783,2.217,6.798,2.231,6.792,2.269,6.758,2.341,6.716,2.441,0.099,0.104
scenario2,XGBoost,5,3.557,1.252,4.985,1.589,6.289,1.899,7.049,2.016,7.432,1.902,7.307,1.515,0.624,0.553
scenario3,HistGB,5,28.243,6.896,30.226,6.571,32.245,4.463,32.688,4.543,33.282,4.104,34.598,3.788,0.0,0.0
scenario3,LSTM,5,48.839,7.206,49.533,7.019,49.464,6.977,49.47,6.903,48.944,6.534,49.455,5.643,0.0,0.0
scenario3,LightGBM,5,28.259,5.86,31.482,6.499,32.771,5.282,33.92,4.224,34.471,3.917,34.264,3.401,0.0,0.0
scenario3,Naive,5,25.951,7.99,30.91,7.253,33.109,7.422,34.46,6.881,32.829,4.946,33.869,6.07,0.0,0.0
scenario3,SeasonalNaive,5,37.645,8.389,37.663,7.961,37.416,7.355,37.338,7.175,36.399,7.684,36.239,8.884,0.05,0.05
scenario3,XGBoost,5,29.597,6.588,32.011,6.813,33.703,5.639,34.67,6.097,35.035,5.439,36.343,6.582,0.0,0.0
scenario4,HistGB,5,28.299,6.734,30.07,6.384,32.05,5.564,32.671,4.108,33.408,3.558,33.82,5.111,0.0,0.0
scenario4,LSTM,5,47.729,6.93,48.091,6.58,47.936,6.011,47.8,5.671,47.111,4.669,47.269,3.971,0.0,0.0
scenario4,LightGBM,5,28.255,5.796,30.416,5.962,32.034,3.871,33.099,4.316,33.195,3.994,33.522,3.46,0.0,0.0
scenario4,Naive,5,25.951,7.99,30.91,7.253,33.109,7.422,34.46,6.881,32.829,4.946,33.869,6.07,0.0,0.0
scenario4,SeasonalNaive,5,37.645,8.389,37.663,7.961,37.416,7.355,37.338,7.175,36.399,7.684,36.239,8.884,0.05,0.05
scenario4,XGBoost,5,28.782,6.096,31.495,5.907,33.037,4.681,33.337,4.425,33.857,4.745,34.891,5.406,0.0,0.0
scenario5,HistGB,5,11.161,2.047,12.486,2.672,13.762,2.462,14.918,2.49,15.454,2.536,15.895,3.364,0.852,0.692
scenario5,LSTM,5,28.658,3.75,29.049,3.693,29.199,3.559,29.444,3.57,29.626,3.486,29.743,3.622,0.0,0.0
scenario5,LightGBM,5,11.536,1.976,12.805,2.394,13.797,2.621,14.95,2.538,15.768,2.337,16.221,2.782,0.831,0.761
